Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Dependents_level
1,1,1,0,0,3052,1030,100,360,1,2,1,4082,0
1,1,2,0,0,11417,1126,225,360,1,2,1,12543,1
1,0,0,1,2,7333,0,120,360,1,0,0,7333,0
1,1,2,0,0,3800,3600,216,360,0,2,0,7400,1
1,1,3,1,0,2071,754,94,480,1,1,1,2825,1
1,0,0,0,0,5316,0,136,360,1,2,1,5316,0
0,1,0,0,2,2929,2333,139,360,1,1,1,5262,0
1,1,0,1,0,3572,4114,152,342.543209876543,0,0,0,7686,0
0,0,1,0,1,7451,0,144.020746887967,360,1,1,1,7451,0
1,0,0,0,2,5050,0,118,360,1,1,1,5050,0
1,1,1,0,0,14583,0,185,180,1,0,1,14583,0
0,1,0,0,0,3167,2283,154,360,1,1,1,5450,0
1,1,1,0,0,2214,1398,85,360,2,2,1,3612,0
1,1,0,0,0,5568,2142,175,360,1,0,0,7710,0
0,0,0,0,0,10408,0,259,360,1,2,1,10408,0
1,1,4,0,0,5667,2667,180,360,1,0,1,8334,2
0,0,0,0,0,4166,0,44,360,1,1,1,4166,0
0,0,0,0,0,2137,8980,137,360,0,1,1,11117,0
1,1,2,0,0,2957,0,81,360,1,1,1,2957,1
1,1,0,1,0,4300,2014,194,360,1,0,1,6314,0
0,0,0,0,0,3692,0,93,360,2,0,1,3692,0
2,1,3,0,0,23803,0,370,360,1,0,1,23803,1
1,0,0,0,0,3865,1640,144.020746887967,360,1,0,1,5505,0
1,1,1,0,1,10513,3850,160,180,0,2,0,14363,0
1,1,0,0,0,6080,2569,182,360,2,0,0,8649,0
1,0,0,0,1,20166,0,650,480,2,2,1,20166,0
1,0,0,0,0,2014,1929,74,360,1,2,1,3943,0
1,0,0,0,0,2718,0,70,360,1,1,1,2718,0
1,1,0,0,1,3459,0,25,120,1,1,1,3459,0
1,0,0,0,0,4895,0,102,360,1,1,1,4895,0
1,1,3,0,0,4000,7750,290,360,1,1,0,11750,1
0,1,0,0,0,4583,0,84,360,1,0,0,4583,0
1,1,2,0,1,3316,3500,88,360,1,2,1,6816,1
1,0,0,0,0,14999,0,242,360,0,1,0,14999,0
1,1,2,1,0,4200,1430,129,360,1,0,0,5630,1
1,1,2,0,0,5042,2083,185,360,1,0,0,7125,1
1,0,0,0,0,5417,0,168,360,1,2,1,5417,0
1,0,0,0,1,6950,0,175,180,1,1,1,6950,0
1,1,0,0,0,2698,2034,122,360,1,1,1,4732,0
1,1,2,0,0,11757,0,187,180,1,2,1,11757,1
0,1,0,0,0,2330,4486,100,360,1,1,1,6816,0
0,1,2,0,0,14866,0,70,360,1,2,1,14866,1
1,1,1,0,0,1538,1425,30,360,1,2,1,2963,0
0,0,0,0,0,10000,1666,225,360,1,0,0,11666,0
1,1,0,0,0,4860,830,125,360,1,1,1,5690,0
1,0,0,0,0,6277,0,118,360,0,0,0,6277,0
1,1,0,0,1,2577,3750,152,360,1,0,1,6327,0
1,0,0,0,0,9166,0,244,360,1,2,0,9166,0
1,1,2,1,0,2281,0,113,360,1,0,0,2281,1
1,0,0,0,0,3254,0,50,360,1,2,1,3254,0
1,1,3,0,0,39999,0,600,180,0,1,1,39999,1
1,1,1,0,0,6000,0,160,360,2,0,1,6000,0
1,1,1,0,0,9538,0,187,360,1,2,1,9538,0
1,0,0,0,2,2980,2083,120,360,1,0,1,5063,0
1,1,0,0,0,4583,5625,255,360,1,1,1,10208,0
1,1,0,1,0,1863,1041,98,360,1,1,1,2904,0
1,1,0,0,0,7933,0,275,360,1,2,0,7933,0
1,1,1,0,0,3089,1280,121,360,0,1,0,4369,0
1,1,2,0,0,4167,1447,158,360,1,0,1,5614,1
1,1,0,0,0,9323,0,75,180,1,2,1,9323,0
1,1,0,0,0,3707,3166,182,342.543209876543,1,0,1,6873,0
0,1,0,0,0,4583,0,112,360,1,0,0,4583,0
1,1,0,0,0,2439,3333,129,360,1,0,1,5772,0
1,0,0,0,0,2237,0,63,480,0,1,0,2237,0
1,1,2,0,0,8000,0,200,360,1,1,1,8000,1
1,1,0,1,2,1820,1769,95,360,1,0,1,3589,0
2,1,3,0,0,51763,0,700,300,1,2,1,51763,1
1,1,3,1,0,3522,0,81,180,1,0,0,3522,1
1,1,0,0,0,5708,5625,187,360,1,1,1,11333,0
1,1,0,1,1,4344,736,87,360,1,1,0,5080,0
1,1,0,0,0,3497,1964,116,360,1,0,1,5461,0
1,1,2,0,0,2045,1619,101,360,1,0,1,3664,1
1,1,3,0,0,5516,11300,495,360,0,1,0,16816,1
1,1,1,0,0,3750,0,116,360,1,1,1,3750,0
1,0,0,1,0,2333,1451,102,480,0,2,0,3784,0
1,1,1,0,0,6400,7250,180,360,0,2,0,13650,0
1,0,0,0,0,1916,5063,67,360,2,0,0,6979,0
1,1,0,0,0,4600,0,73,180,1,1,1,4600,0
1,1,1,0,0,33846,0,260,360,1,1,0,33846,0
0,1,0,0,0,3625,0,108,360,1,1,1,3625,0
1,1,0,0,1,39147,4750,120,360,1,1,1,43897,0
1,1,1,0,1,2178,0,66,300,0,0,0,2178,0
1,1,0,0,0,2383,2138,58,360,2,0,1,4521,0
2,1,0,0,1,674,5296,168,360,1,0,1,5970,0
1,1,0,0,0,9328,0,188,180,1,0,1,9328,0
1,0,0,1,0,4885,0,48,360,1,0,1,4885,0
1,0,0,0,0,12000,0,164,360,1,1,0,12000,0
1,1,0,1,0,6033,0,160,360,1,2,0,6033,0
1,0,0,0,0,3858,0,76,360,1,1,1,3858,0
1,0,0,0,0,4191,0,120,360,1,0,1,4191,0
1,1,1,0,0,3125,2583,170,360,1,1,0,5708,0
1,0,0,0,0,8333,3750,187,360,1,0,1,12083,0
0,0,0,1,0,1907,2365,120,342.543209876543,1,2,1,4272,0
0,1,0,0,0,3416,2816,113,360,2,1,1,6232,0
1,0,0,0,1,11000,0,83,360,1,2,0,11000,0
1,1,1,1,0,2600,2500,90,360,1,1,1,5100,0
1,0,2,0,0,4923,0,166,360,0,1,1,4923,1
1,1,3,1,0,3992,0,144.020746887967,180,1,2,0,3992,1
1,1,1,1,0,3500,1083,135,360,1,2,1,4583,0
1,1,2,1,0,3917,0,124,360,1,1,1,3917,1
0,0,0,1,0,4408,0,120,360,1,1,1,4408,0
0,0,0,0,0,3244,0,80,360,1,2,1,3244,0
1,0,0,1,0,3975,2531,55,360,1,0,1,6506,0
1,0,0,0,0,2479,0,59,360,1,2,1,2479,0
1,0,0,0,0,3418,0,127,360,1,1,0,3418,0
0,0,0,0,0,10000,0,214,360,1,1,0,10000,0
1,1,3,0,0,3430,1250,128,360,0,1,0,4680,1
1,1,1,0,1,7787,0,240,360,1,2,1,7787,0
1,1,3,1,1,5703,0,130,360,1,0,1,5703,1
1,1,0,0,0,3173,3021,137,360,1,2,1,6194,0
1,1,3,1,0,3850,983,100,360,1,1,1,4833,1
1,1,0,0,0,150,1800,135,360,1,0,0,1950,0
1,1,0,0,0,3727,1775,131,360,1,1,1,5502,0
1,1,2,0,2,5000,0,72,360,0,1,0,5000,1
0,1,2,0,0,4283,2383,127,360,2,1,1,6666,1
1,1,0,0,0,2221,0,60,360,0,2,0,2221,0
1,1,2,0,0,4009,1717,116,360,1,1,1,5726,1
1,0,0,0,0,2971,2791,144,360,1,1,1,5762,0
1,1,0,0,0,7578,1010,175,342.543209876543,1,1,1,8588,0
1,1,0,0,0,6250,0,128,360,1,1,1,6250,0
1,1,0,0,0,3250,0,170,360,1,0,0,3250,0
1,1,4,1,1,4735,0,138,360,1,2,0,4735,2
1,1,2,0,0,6250,1695,210,360,1,1,1,7945,1
1,2,4,0,0,4758,0,158,480,1,1,1,4758,2
1,0,0,0,1,6400,0,200,360,1,0,1,6400,0
1,1,1,0,0,2491,2054,104,360,1,1,1,4545,0
1,1,0,0,2,3716,0,42,180,1,0,1,3716,0
1,0,0,1,0,3189,2598,120,342.543209876543,1,0,1,5787,0
0,0,0,0,0,8333,0,280,360,1,1,1,8333,0
1,1,1,0,0,3155,1779,140,360,1,1,1,4934,0
1,1,1,0,0,5500,1260,170,360,1,0,1,6760,0
1,1,0,0,2,5746,0,255,360,2,2,0,5746,0
0,0,0,0,1,3463,0,122,360,2,2,1,3463,0
0,0,1,0,0,3812,0,112,360,1,0,1,3812,0
1,1,1,0,0,3315,0,96,360,1,1,1,3315,0
1,1,2,0,0,5819,5000,120,360,1,0,1,10819,1
1,1,1,1,0,2510,1983,140,180,1,2,0,4493,0
1,0,0,0,0,2965,5701,155,60,1,2,1,8666,0
1,1,2,0,1,6250,1300,108,360,1,0,1,7550,1
1,1,0,1,0,3406,4417,123,360,1,1,1,7823,0
1,0,0,0,1,6050,4333,120,180,1,2,0,10383,0
1,1,2,0,0,9703,0,112,360,1,2,1,9703,1
1,1,1,1,0,6608,0,137,180,1,2,1,6608,0
1,1,1,0,0,2882,1843,123,480,1,1,1,4725,0
1,1,0,0,0,1809,1868,90,360,1,2,1,3677,0
1,1,0,1,0,1668,3890,201,360,0,1,0,5558,0
0,0,2,0,0,3427,0,138,360,1,2,0,3427,1
1,0,0,1,1,2583,2167,104,360,1,0,1,4750,0
1,1,1,1,0,2661,7101,279,180,1,1,1,9762,0
1,0,0,0,1,16250,0,192,360,0,2,0,16250,0
0,0,3,0,0,3083,0,255,360,1,0,1,3083,1
1,0,0,1,0,6045,0,115,360,0,0,0,6045,0
1,1,3,0,0,5250,0,94,360,1,2,0,5250,1
1,1,0,0,0,14683,2100,304,360,1,0,0,16783,0
1,1,3,1,0,4931,0,128,360,2,1,0,4931,1
1,1,1,0,0,6083,4250,330,360,2,2,1,10333,0
1,0,0,0,0,2060,2209,134,360,1,1,1,4269,0
0,0,1,0,0,3481,0,155,36,1,1,0,3481,0
0,0,0,0,0,7200,0,120,360,1,0,1,7200,0
1,0,0,0,1,5166,0,128,360,1,1,1,5166,0
1,0,0,0,0,4095,3447,151,360,1,0,1,7542,0
1,1,2,0,0,4708,1387,150,360,1,1,1,6095,1
1,1,3,0,0,4333,1811,160,360,0,2,1,6144,1
0,0,0,0,2,3418,0,135,360,1,0,0,3418,0
0,0,1,0,0,2876,1560,90,360,1,2,1,4436,0
0,0,0,0,0,3237,0,30,360,1,2,1,3237,0
1,1,0,0,0,11146,0,136,360,1,2,1,11146,0
1,0,0,0,0,2833,1857,126,360,1,0,1,4690,0
1,1,0,0,0,2620,2223,150,360,1,1,1,4843,0
1,1,2,0,0,3900,0,90,360,1,1,1,3900,1
1,1,1,0,0,2750,1842,115,360,1,1,1,4592,0
1,1,0,0,0,3993,3274,207,360,1,1,1,7267,0
1,1,0,0,0,3103,1300,80,360,1,2,1,4403,0
1,1,0,0,0,14583,0,436,360,1,1,1,14583,0
0,1,0,1,0,4100,0,124,360,2,0,1,4100,0
1,0,1,1,1,4053,2426,158,360,0,2,0,6479,0
1,1,0,0,0,3927,800,112,360,1,1,1,4727,0
1,1,2,0,0,2301,985.7999878,78,180,1,2,1,3286.7999878,1
0,0,0,0,0,1811,1666,54,360,1,2,1,3477,0
1,1,0,0,0,20667,0,144.020746887967,360,1,0,0,20667,0
1,0,0,0,0,3158,3053,89,360,1,0,1,6211,0
0,0,0,0,1,2600,1717,99,300,1,1,0,4317,0
1,1,0,0,0,3704,2000,120,360,1,0,1,5704,0
0,0,0,0,0,4124,0,115,360,1,1,1,4124,0
1,0,0,0,0,9508,0,187,360,1,0,1,9508,0
1,1,0,0,0,3075,2416,139,360,1,0,1,5491,0
1,1,2,0,0,4400,0,127,360,0,1,0,4400,1
1,1,2,0,0,3153,1560,134,360,1,2,1,4713,1
0,0,4,0,0,5417,0,143,480,0,2,0,5417,2
1,1,0,0,0,2383,3334,172,360,1,1,1,5717,0
1,1,3,0,2,4416,1250,110,360,1,2,1,5666,1
1,1,1,0,0,6875,0,200,360,1,1,1,6875,0
0,1,1,0,0,4666,0,135,360,1,2,1,4666,0
0,0,0,0,0,5000,2541,151,480,1,0,0,7541,0
1,1,1,0,0,2014,2925,113,360,1,2,0,4939,0
1,1,0,1,0,1800,2934,93,360,0,2,0,4734,0
1,1,4,1,0,2875,1750,105,360,1,1,1,4625,2
0,0,0,0,0,5000,0,132,360,1,0,1,5000,0
1,1,1,0,0,1625,1803,96,360,1,2,1,3428,0
1,0,0,0,0,4000,2500,140,360,1,0,1,6500,0
1,0,0,1,0,2000,0,144.020746887967,360,1,2,0,2000,0
0,0,0,0,0,3762,1666,135,360,1,0,1,5428,0
0,0,0,0,0,2400,1863,104,360,0,2,0,4263,0
1,0,0,0,0,20233,0,480,360,1,0,0,20233,0
1,1,2,1,0,7667,0,185,360,2,0,1,7667,1
0,0,0,0,0,2917,0,84,360,1,1,1,2917,0
1,0,0,1,0,2927,2405,111,360,1,1,1,5332,0
0,0,0,0,0,2507,0,56,360,1,0,1,2507,0
1,1,2,0,1,5746,0,144,84,2,0,1,5746,1
2,1,0,0,0,2473,1843,159,360,1,0,0,4316,0
1,1,1,1,0,3399,1640,111,180,1,2,1,5039,0
1,1,2,0,0,3717,0,120,360,1,1,1,3717,1
1,1,0,0,0,2058,2134,88,360,2,2,1,4192,0
0,0,1,0,0,3541,0,112,360,2,1,1,3541,0
1,1,1,0,1,10000,0,155,360,1,0,0,10000,0
1,1,0,0,0,2400,2167,115,360,1,1,1,4567,0
1,1,3,0,0,4342,189,124,360,1,1,1,4531,1
1,1,2,1,0,3601,1590,144.020746887967,360,1,0,1,5191,1
0,0,0,0,0,3166,2985,132,360,2,0,1,6151,0
1,1,3,0,0,15000,0,300,360,1,0,1,15000,1
1,1,1,0,1,8666,4983,376,360,0,0,0,13649,0
1,0,0,0,0,4917,0,130,360,0,0,1,4917,0
1,1,0,0,1,5818,2160,184,360,1,1,1,7978,0
0,1,0,0,0,4333,2451,110,360,1,2,0,6784,0
0,0,0,0,0,2500,0,67,360,1,2,1,2500,0
1,0,1,0,0,4384,1793,117,360,1,2,1,6177,0
1,0,0,0,0,2935,0,98,360,1,1,1,2935,0
1,0,4,0,0,2833,0,71,360,1,2,1,2833,2
1,1,0,0,2,63337,0,490,180,1,2,1,63337,0
2,1,1,0,1,9833,1833,182,180,1,2,1,11666,0
1,1,4,0,1,5503,4490,70,342.543209876543,1,1,1,9993,2
1,1,1,0,2,5250,688,160,360,1,0,1,5938,0
1,1,2,0,1,2500,4600,176,360,1,0,1,7100,1
0,0,3,1,0,1830,0,144.020746887967,360,0,2,0,1830,1
0,0,0,0,0,4160,0,71,360,1,1,1,4160,0
1,1,3,1,0,2647,1587,173,360,1,0,0,4234,1
0,0,0,0,0,2378,0,46,360,1,0,0,2378,0
1,1,1,1,0,4554,1229,158,360,1,2,1,5783,0
1,1,3,1,0,3173,0,74,360,1,1,1,3173,1
1,1,2,0,2,2583,2330,125,360,1,0,1,4913,1
1,1,0,0,0,2499,2458,160,360,1,1,1,4957,0
1,1,4,1,0,3523,3230,152,360,0,0,0,6753,2
1,1,2,1,0,3083,2168,126,360,1,2,1,5251,1
1,1,0,0,0,6333,4583,259,360,2,1,1,10916,0
1,1,0,0,0,2625,6250,187,360,1,0,1,8875,0
1,1,0,0,0,9083,0,228,360,1,1,1,9083,0
1,0,0,0,0,8750,4167,308,360,1,0,0,12917,0
1,1,3,0,0,2666,2083,95,360,1,0,1,4749,1
0,1,0,0,1,5500,0,105,360,0,0,0,5500,0
0,1,0,0,0,2423,505,130,360,1,1,1,2928,0
0,0,4,0,0,3813,0,116,180,1,2,1,3813,2
1,1,2,0,0,8333,3167,165,360,1,0,1,11500,1
1,1,1,0,0,3875,0,67,360,1,2,0,3875,0
1,1,0,1,0,3000,1666,100,480,0,2,0,4666,0
1,1,3,0,0,5167,3167,200,360,1,1,1,8334,1
0,0,1,0,0,4723,0,81,360,1,1,0,4723,0
1,1,2,0,0,5000,3667,236,360,1,1,1,8667,1
1,1,0,0,0,4750,2333,130,360,1,2,1,7083,0
1,1,0,0,0,3013,3033,95,300,2,2,1,6046,0
1,0,0,0,1,6822,0,141,360,1,0,1,6822,0
1,0,0,1,0,6216,0,133,360,1,0,0,6216,0
1,0,0,0,0,2500,0,96,480,1,1,0,2500,0
1,0,0,0,0,5124,0,124,342.543209876543,0,0,0,5124,0
1,1,1,0,0,6325,0,175,360,1,1,1,6325,0
1,1,0,0,0,19730,5266,570,360,1,0,0,24996,0
0,0,0,0,1,15759,0,55,360,1,1,1,15759,0
1,1,2,0,0,5185,0,155,360,1,1,1,5185,1
1,1,2,0,1,9323,7873,380,300,1,0,1,17196,1
1,0,1,0,0,3062,1987,111,180,0,2,0,5049,0
0,0,0,0,2,2764,1459,110,360,1,2,1,4223,0
1,1,0,0,0,4817,923,120,180,1,2,1,5740,0
1,1,3,0,0,8750,4996,130,360,1,0,1,13746,1
1,1,0,0,0,4310,0,130,360,2,1,1,4310,0
1,0,0,0,0,3069,0,71,480,1,2,0,3069,0
1,1,2,0,0,5391,0,130,360,1,2,1,5391,1
1,1,0,0,2,3333,2500,128,360,1,1,1,5833,0
1,0,0,0,0,5941,4232,296,360,1,1,1,10173,0
0,0,0,0,0,6000,0,156,360,1,2,1,6000,0
1,0,0,0,1,7167,0,128,360,1,2,1,7167,0
1,1,2,0,0,4566,0,100,360,1,2,0,4566,1
1,0,1,0,2,3667,0,113,180,1,2,1,3667,0
1,0,0,1,0,2346,1600,132,360,1,1,1,3946,0
1,1,0,1,0,3010,3136,144.020746887967,360,0,2,0,6146,0
1,1,0,0,0,2333,2417,136,360,1,2,1,4750,0
1,1,0,0,0,5488,0,125,360,1,0,1,5488,0
1,0,3,0,0,9167,0,185,360,1,0,1,9167,1
1,1,3,0,0,9504,0,275,360,1,0,1,9504,1
1,1,0,0,0,2583,2115,120,360,2,2,1,4698,0
1,1,2,1,0,1993,1625,113,180,1,1,1,3618,1
1,1,2,0,0,3100,1400,113,360,1,2,1,4500,1
1,1,2,0,0,3276,484,135,360,2,1,1,3760,1
0,0,0,0,0,3180,0,71,360,0,2,0,3180,0
1,1,0,0,0,3033,1459,95,360,1,2,1,4492,0
1,0,0,1,0,3902,1666,109,360,1,0,1,5568,0
0,0,0,0,0,1500,1800,103,360,0,1,0,3300,0
1,1,2,1,0,2889,0,45,180,0,2,0,2889,1
1,0,0,1,0,2755,0,65,300,1,0,0,2755,0
1,0,0,0,0,2500,20000,103,360,1,1,1,22500,0
0,0,0,1,0,1963,0,53,360,1,1,1,1963,0
0,0,0,0,1,7441,0,194,360,1,0,0,7441,0
0,0,0,0,0,4547,0,115,360,1,1,1,4547,0
1,1,0,1,0,2167,2400,115,360,1,2,1,4567,0
0,0,0,1,0,2213,0,66,360,1,0,1,2213,0
1,1,1,0,0,8300,0,152,300,0,1,0,8300,0
1,1,3,0,0,81000,0,360,360,0,0,0,81000,1
0,0,1,1,1,3867,0,62,360,1,1,0,3867,0
1,1,0,0,2,6256,0,160,360,2,2,1,6256,0
1,1,0,1,0,6096,0,218,360,0,0,0,6096,0
1,1,0,1,0,2253,2033,110,360,1,0,1,4286,0
0,1,0,1,0,2149,3237,178,360,0,1,0,5386,0
0,0,0,0,0,2995,0,60,360,1,2,1,2995,0
0,0,1,0,0,2600,0,160,360,1,2,0,2600,0
1,1,2,0,1,1600,20000,239,360,1,2,0,21600,1
1,1,0,0,0,1025,2773,112,360,1,0,1,3798,0
1,1,0,0,0,3246,1417,138,360,1,1,1,4663,0
1,1,0,0,0,5829,0,138,360,1,0,1,5829,0
0,0,0,1,0,2720,0,80,342.543209876543,0,2,0,2720,0
1,1,0,0,0,1820,1719,100,360,1,2,1,3539,0
1,1,1,0,0,7250,1667,110,342.543209876543,0,2,0,8917,0
1,1,0,0,0,14880,0,96,360,1,1,1,14880,0
1,1,0,0,0,2666,4300,121,360,1,0,1,6966,0
0,0,1,1,0,4606,0,81,360,1,0,0,4606,0
1,1,2,0,0,5935,0,133,360,1,1,1,5935,1
1,1,0,0,0,2920,16.12000084,87,360,1,0,1,2936.12000084,0
1,0,0,1,0,2717,0,60,180,1,2,1,2717,0
0,0,1,0,1,8624,0,150,360,1,1,1,8624,0
1,0,0,0,0,6500,0,105,360,0,0,0,6500,0
1,0,0,0,2,12876,0,405,360,1,1,1,12876,0
1,1,0,0,0,2425,2340,143,360,1,1,1,4765,0
1,0,0,0,0,3750,0,100,360,1,2,1,3750,0
0,2,4,0,0,10047,0,144.020746887967,240,1,1,1,10047,2
1,0,0,0,0,1926,1851,50,360,1,1,1,3777,0
1,1,0,0,0,2213,1125,144.020746887967,360,1,2,1,3338,0
1,0,0,0,1,10416,0,187,360,0,2,0,10416,0
0,1,0,1,1,7142,0,138,360,1,0,1,7142,0
1,0,0,0,0,3660,5064,187,360,1,1,1,8724,0
1,1,0,0,0,7901,1833,180,360,1,0,1,9734,0
1,0,3,1,0,4707,1993,148,360,1,1,1,6700,1
1,0,1,0,0,37719,0,152,360,1,1,1,37719,0
1,1,0,0,0,7333,8333,175,300,2,0,1,15666,0
1,1,1,0,1,3466,1210,130,360,1,0,1,4676,0
1,1,2,1,0,4652,0,110,360,1,0,1,4652,1
