,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_Income
128,10513,3850.0,160.0,180.0,0.0,0,14363.0
129,6080,2569.0,182.0,360.0,2.0,0,8649.0
130,20166,0.0,650.0,480.0,2.0,1,20166.0
131,2014,1929.0,74.0,360.0,1.0,1,3943.0
132,2718,0.0,70.0,360.0,1.0,1,2718.0
133,3459,0.0,25.0,120.0,1.0,1,3459.0
134,4895,0.0,102.0,360.0,1.0,1,4895.0
135,4000,7750.0,290.0,360.0,1.0,0,11750.0
136,4583,0.0,84.0,360.0,1.0,0,4583.0
137,3316,3500.0,88.0,360.0,1.0,1,6816.0
138,14999,0.0,242.0,360.0,0.0,0,14999.0
139,4200,1430.0,129.0,360.0,1.0,0,5630.0
140,5042,2083.0,185.0,360.0,1.0,0,7125.0
141,5417,0.0,168.0,360.0,1.0,1,5417.0
142,6950,0.0,175.0,180.0,1.0,1,6950.0
143,2698,2034.0,122.0,360.0,1.0,1,4732.0
144,11757,0.0,187.0,180.0,1.0,1,11757.0
145,2330,4486.0,100.0,360.0,1.0,1,6816.0
146,14866,0.0,70.0,360.0,1.0,1,14866.0
147,1538,1425.0,30.0,360.0,1.0,1,2963.0
148,10000,1666.0,225.0,360.0,1.0,0,11666.0
149,4860,830.0,125.0,360.0,1.0,1,5690.0
150,6277,0.0,118.0,360.0,0.0,0,6277.0
151,2577,3750.0,152.0,360.0,1.0,1,6327.0
152,9166,0.0,244.0,360.0,1.0,0,9166.0
153,2281,0.0,113.0,360.0,1.0,0,2281.0
154,3254,0.0,50.0,360.0,1.0,1,3254.0
155,39999,0.0,600.0,180.0,0.0,1,39999.0
156,6000,0.0,160.0,360.0,2.0,1,6000.0
157,9538,0.0,187.0,360.0,1.0,1,9538.0
158,2980,2083.0,120.0,360.0,1.0,1,5063.0
159,4583,5625.0,255.0,360.0,1.0,1,10208.0
160,1863,1041.0,98.0,360.0,1.0,1,2904.0
161,7933,0.0,275.0,360.0,1.0,0,7933.0
162,3089,1280.0,121.0,360.0,0.0,0,4369.0
163,4167,1447.0,158.0,360.0,1.0,1,5614.0
164,9323,0.0,75.0,180.0,1.0,1,9323.0
165,3707,3166.0,182.0,342.5432098765432,1.0,1,6873.0
166,4583,0.0,112.0,360.0,1.0,0,4583.0
167,2439,3333.0,129.0,360.0,1.0,1,5772.0
168,2237,0.0,63.0,480.0,0.0,0,2237.0
169,8000,0.0,200.0,360.0,1.0,1,8000.0
170,1820,1769.0,95.0,360.0,1.0,1,3589.0
171,51763,0.0,700.0,300.0,1.0,1,51763.0
172,3522,0.0,81.0,180.0,1.0,0,3522.0
173,5708,5625.0,187.0,360.0,1.0,1,11333.0
174,4344,736.0,87.0,360.0,1.0,0,5080.0
175,3497,1964.0,116.0,360.0,1.0,1,5461.0
176,2045,1619.0,101.0,360.0,1.0,1,3664.0
177,5516,11300.0,495.0,360.0,0.0,0,16816.0
178,3750,0.0,116.0,360.0,1.0,1,3750.0
179,2333,1451.0,102.0,480.0,0.0,0,3784.0
180,6400,7250.0,180.0,360.0,0.0,0,13650.0
181,1916,5063.0,67.0,360.0,2.0,0,6979.0
182,4600,0.0,73.0,180.0,1.0,1,4600.0
183,33846,0.0,260.0,360.0,1.0,0,33846.0
184,3625,0.0,108.0,360.0,1.0,1,3625.0
185,39147,4750.0,120.0,360.0,1.0,1,43897.0
186,2178,0.0,66.0,300.0,0.0,0,2178.0
187,2383,2138.0,58.0,360.0,2.0,1,4521.0
188,674,5296.0,168.0,360.0,1.0,1,5970.0
189,9328,0.0,188.0,180.0,1.0,1,9328.0
190,4885,0.0,48.0,360.0,1.0,1,4885.0
191,12000,0.0,164.0,360.0,1.0,0,12000.0
192,6033,0.0,160.0,360.0,1.0,0,6033.0
193,3858,0.0,76.0,360.0,1.0,1,3858.0
194,4191,0.0,120.0,360.0,1.0,1,4191.0
195,3125,2583.0,170.0,360.0,1.0,0,5708.0
196,8333,3750.0,187.0,360.0,1.0,1,12083.0
197,1907,2365.0,120.0,342.5432098765432,1.0,1,4272.0
198,3416,2816.0,113.0,360.0,2.0,1,6232.0
199,11000,0.0,83.0,360.0,1.0,0,11000.0
200,2600,2500.0,90.0,360.0,1.0,1,5100.0
201,4923,0.0,166.0,360.0,0.0,1,4923.0
202,3992,0.0,144.0207468879668,180.0,1.0,0,3992.0
203,3500,1083.0,135.0,360.0,1.0,1,4583.0
204,3917,0.0,124.0,360.0,1.0,1,3917.0
205,4408,0.0,120.0,360.0,1.0,1,4408.0
206,3244,0.0,80.0,360.0,1.0,1,3244.0
207,3975,2531.0,55.0,360.0,1.0,1,6506.0
208,2479,0.0,59.0,360.0,1.0,1,2479.0
209,3418,0.0,127.0,360.0,1.0,0,3418.0
210,10000,0.0,214.0,360.0,1.0,0,10000.0
211,3430,1250.0,128.0,360.0,0.0,0,4680.0
212,7787,0.0,240.0,360.0,1.0,1,7787.0
213,5703,0.0,130.0,360.0,1.0,1,5703.0
214,3173,3021.0,137.0,360.0,1.0,1,6194.0
215,3850,983.0,100.0,360.0,1.0,1,4833.0
216,150,1800.0,135.0,360.0,1.0,0,1950.0
217,3727,1775.0,131.0,360.0,1.0,1,5502.0
218,5000,0.0,72.0,360.0,0.0,0,5000.0
219,4283,2383.0,127.0,360.0,2.0,1,6666.0
220,2221,0.0,60.0,360.0,0.0,0,2221.0
221,4009,1717.0,116.0,360.0,1.0,1,5726.0
222,2971,2791.0,144.0,360.0,1.0,1,5762.0
223,7578,1010.0,175.0,342.5432098765432,1.0,1,8588.0
224,6250,0.0,128.0,360.0,1.0,1,6250.0
225,3250,0.0,170.0,360.0,1.0,0,3250.0
226,4735,0.0,138.0,360.0,1.0,0,4735.0
227,6250,1695.0,210.0,360.0,1.0,1,7945.0
228,4758,0.0,158.0,480.0,1.0,1,4758.0
229,6400,0.0,200.0,360.0,1.0,1,6400.0
230,2491,2054.0,104.0,360.0,1.0,1,4545.0
231,3716,0.0,42.0,180.0,1.0,1,3716.0
232,3189,2598.0,120.0,342.5432098765432,1.0,1,5787.0
233,8333,0.0,280.0,360.0,1.0,1,8333.0
234,3155,1779.0,140.0,360.0,1.0,1,4934.0
235,5500,1260.0,170.0,360.0,1.0,1,6760.0
236,5746,0.0,255.0,360.0,2.0,0,5746.0
237,3463,0.0,122.0,360.0,2.0,1,3463.0
238,3812,0.0,112.0,360.0,1.0,1,3812.0
239,3315,0.0,96.0,360.0,1.0,1,3315.0
240,5819,5000.0,120.0,360.0,1.0,1,10819.0
241,2510,1983.0,140.0,180.0,1.0,0,4493.0
242,2965,5701.0,155.0,60.0,1.0,1,8666.0
243,6250,1300.0,108.0,360.0,1.0,1,7550.0
244,3406,4417.0,123.0,360.0,1.0,1,7823.0
245,6050,4333.0,120.0,180.0,1.0,0,10383.0
246,9703,0.0,112.0,360.0,1.0,1,9703.0
247,6608,0.0,137.0,180.0,1.0,1,6608.0
248,2882,1843.0,123.0,480.0,1.0,1,4725.0
249,1809,1868.0,90.0,360.0,1.0,1,3677.0
250,1668,3890.0,201.0,360.0,0.0,0,5558.0
251,3427,0.0,138.0,360.0,1.0,0,3427.0
252,2583,2167.0,104.0,360.0,1.0,1,4750.0
253,2661,7101.0,279.0,180.0,1.0,1,9762.0
254,16250,0.0,192.0,360.0,0.0,0,16250.0
255,3083,0.0,255.0,360.0,1.0,1,3083.0
256,6045,0.0,115.0,360.0,0.0,0,6045.0
257,5250,0.0,94.0,360.0,1.0,0,5250.0
258,14683,2100.0,304.0,360.0,1.0,0,16783.0
259,4931,0.0,128.0,360.0,2.0,0,4931.0
260,6083,4250.0,330.0,360.0,2.0,1,10333.0
261,2060,2209.0,134.0,360.0,1.0,1,4269.0
262,3481,0.0,155.0,36.0,1.0,0,3481.0
263,7200,0.0,120.0,360.0,1.0,1,7200.0
264,5166,0.0,128.0,360.0,1.0,1,5166.0
265,4095,3447.0,151.0,360.0,1.0,1,7542.0
266,4708,1387.0,150.0,360.0,1.0,1,6095.0
267,4333,1811.0,160.0,360.0,0.0,1,6144.0
268,3418,0.0,135.0,360.0,1.0,0,3418.0
269,2876,1560.0,90.0,360.0,1.0,1,4436.0
270,3237,0.0,30.0,360.0,1.0,1,3237.0
271,11146,0.0,136.0,360.0,1.0,1,11146.0
272,2833,1857.0,126.0,360.0,1.0,1,4690.0
273,2620,2223.0,150.0,360.0,1.0,1,4843.0
274,3900,0.0,90.0,360.0,1.0,1,3900.0
275,2750,1842.0,115.0,360.0,1.0,1,4592.0
276,3993,3274.0,207.0,360.0,1.0,1,7267.0
277,3103,1300.0,80.0,360.0,1.0,1,4403.0
278,14583,0.0,436.0,360.0,1.0,1,14583.0
279,4100,0.0,124.0,360.0,2.0,1,4100.0
280,4053,2426.0,158.0,360.0,0.0,0,6479.0
281,3927,800.0,112.0,360.0,1.0,1,4727.0
282,2301,985.7999877999998,78.0,180.0,1.0,1,3286.7999878
283,1811,1666.0,54.0,360.0,1.0,1,3477.0
284,20667,0.0,144.0207468879668,360.0,1.0,0,20667.0
285,3158,3053.0,89.0,360.0,1.0,1,6211.0
286,2600,1717.0,99.0,300.0,1.0,0,4317.0
287,3704,2000.0,120.0,360.0,1.0,1,5704.0
288,4124,0.0,115.0,360.0,1.0,1,4124.0
289,9508,0.0,187.0,360.0,1.0,1,9508.0
290,3075,2416.0,139.0,360.0,1.0,1,5491.0
291,4400,0.0,127.0,360.0,0.0,0,4400.0
292,3153,1560.0,134.0,360.0,1.0,1,4713.0
293,5417,0.0,143.0,480.0,0.0,0,5417.0
294,2383,3334.0,172.0,360.0,1.0,1,5717.0
295,4416,1250.0,110.0,360.0,1.0,1,5666.0
296,6875,0.0,200.0,360.0,1.0,1,6875.0
297,4666,0.0,135.0,360.0,1.0,1,4666.0
298,5000,2541.0,151.0,480.0,1.0,0,7541.0
299,2014,2925.0,113.0,360.0,1.0,0,4939.0
300,1800,2934.0,93.0,360.0,0.0,0,4734.0
301,2875,1750.0,105.0,360.0,1.0,1,4625.0
302,5000,0.0,132.0,360.0,1.0,1,5000.0
303,1625,1803.0,96.0,360.0,1.0,1,3428.0
304,4000,2500.0,140.0,360.0,1.0,1,6500.0
305,2000,0.0,144.0207468879668,360.0,1.0,0,2000.0
306,3762,1666.0,135.0,360.0,1.0,1,5428.0
307,2400,1863.0,104.0,360.0,0.0,0,4263.0
308,20233,0.0,480.0,360.0,1.0,0,20233.0
309,7667,0.0,185.0,360.0,2.0,1,7667.0
310,2917,0.0,84.0,360.0,1.0,1,2917.0
311,2927,2405.0,111.0,360.0,1.0,1,5332.0
312,2507,0.0,56.0,360.0,1.0,1,2507.0
313,5746,0.0,144.0,84.0,2.0,1,5746.0
314,2473,1843.0,159.0,360.0,1.0,0,4316.0
315,3399,1640.0,111.0,180.0,1.0,1,5039.0
316,3717,0.0,120.0,360.0,1.0,1,3717.0
317,2058,2134.0,88.0,360.0,2.0,1,4192.0
318,3541,0.0,112.0,360.0,2.0,1,3541.0
319,10000,0.0,155.0,360.0,1.0,0,10000.0
320,2400,2167.0,115.0,360.0,1.0,1,4567.0
321,4342,189.0,124.0,360.0,1.0,1,4531.0
322,3601,1590.0,144.0207468879668,360.0,1.0,1,5191.0
323,3166,2985.0,132.0,360.0,2.0,1,6151.0
324,15000,0.0,300.0,360.0,1.0,1,15000.0
325,8666,4983.0,376.0,360.0,0.0,0,13649.0
326,4917,0.0,130.0,360.0,0.0,1,4917.0
327,5818,2160.0,184.0,360.0,1.0,1,7978.0
328,4333,2451.0,110.0,360.0,1.0,0,6784.0
329,2500,0.0,67.0,360.0,1.0,1,2500.0
330,4384,1793.0,117.0,360.0,1.0,1,6177.0
331,2935,0.0,98.0,360.0,1.0,1,2935.0
332,2833,0.0,71.0,360.0,1.0,1,2833.0
333,63337,0.0,490.0,180.0,1.0,1,63337.0
334,9833,1833.0,182.0,180.0,1.0,1,11666.0
335,5503,4490.0,70.0,342.5432098765432,1.0,1,9993.0
336,5250,688.0,160.0,360.0,1.0,1,5938.0
337,2500,4600.0,176.0,360.0,1.0,1,7100.0
338,1830,0.0,144.0207468879668,360.0,0.0,0,1830.0
339,4160,0.0,71.0,360.0,1.0,1,4160.0
340,2647,1587.0,173.0,360.0,1.0,0,4234.0
341,2378,0.0,46.0,360.0,1.0,0,2378.0
342,4554,1229.0,158.0,360.0,1.0,1,5783.0
343,3173,0.0,74.0,360.0,1.0,1,3173.0
344,2583,2330.0,125.0,360.0,1.0,1,4913.0
345,2499,2458.0,160.0,360.0,1.0,1,4957.0
346,3523,3230.0,152.0,360.0,0.0,0,6753.0
347,3083,2168.0,126.0,360.0,1.0,1,5251.0
348,6333,4583.0,259.0,360.0,2.0,1,10916.0
349,2625,6250.0,187.0,360.0,1.0,1,8875.0
350,9083,0.0,228.0,360.0,1.0,1,9083.0
351,8750,4167.0,308.0,360.0,1.0,0,12917.0
352,2666,2083.0,95.0,360.0,1.0,1,4749.0
353,5500,0.0,105.0,360.0,0.0,0,5500.0
354,2423,505.0,130.0,360.0,1.0,1,2928.0
355,3813,0.0,116.0,180.0,1.0,1,3813.0
356,8333,3167.0,165.0,360.0,1.0,1,11500.0
357,3875,0.0,67.0,360.0,1.0,0,3875.0
358,3000,1666.0,100.0,480.0,0.0,0,4666.0
359,5167,3167.0,200.0,360.0,1.0,1,8334.0
360,4723,0.0,81.0,360.0,1.0,0,4723.0
361,5000,3667.0,236.0,360.0,1.0,1,8667.0
362,4750,2333.0,130.0,360.0,1.0,1,7083.0
363,3013,3033.0,95.0,300.0,2.0,1,6046.0
364,6822,0.0,141.0,360.0,1.0,1,6822.0
365,6216,0.0,133.0,360.0,1.0,0,6216.0
366,2500,0.0,96.0,480.0,1.0,0,2500.0
367,5124,0.0,124.0,342.5432098765432,0.0,0,5124.0
368,6325,0.0,175.0,360.0,1.0,1,6325.0
369,19730,5266.0,570.0,360.0,1.0,0,24996.0
370,15759,0.0,55.0,360.0,1.0,1,15759.0
371,5185,0.0,155.0,360.0,1.0,1,5185.0
372,9323,7873.0,380.0,300.0,1.0,1,17196.0
373,3062,1987.0,111.0,180.0,0.0,0,5049.0
374,2764,1459.0,110.0,360.0,1.0,1,4223.0
375,4817,923.0,120.0,180.0,1.0,1,5740.0
376,8750,4996.0,130.0,360.0,1.0,1,13746.0
377,4310,0.0,130.0,360.0,2.0,1,4310.0
378,3069,0.0,71.0,480.0,1.0,0,3069.0
379,5391,0.0,130.0,360.0,1.0,1,5391.0
380,3333,2500.0,128.0,360.0,1.0,1,5833.0
381,5941,4232.0,296.0,360.0,1.0,1,10173.0
382,6000,0.0,156.0,360.0,1.0,1,6000.0
383,7167,0.0,128.0,360.0,1.0,1,7167.0
384,4566,0.0,100.0,360.0,1.0,0,4566.0
385,3667,0.0,113.0,180.0,1.0,1,3667.0
386,2346,1600.0,132.0,360.0,1.0,1,3946.0
387,3010,3136.0,144.0207468879668,360.0,0.0,0,6146.0
388,2333,2417.0,136.0,360.0,1.0,1,4750.0
389,5488,0.0,125.0,360.0,1.0,1,5488.0
390,9167,0.0,185.0,360.0,1.0,1,9167.0
391,9504,0.0,275.0,360.0,1.0,1,9504.0
392,2583,2115.0,120.0,360.0,2.0,1,4698.0
393,1993,1625.0,113.0,180.0,1.0,1,3618.0
394,3100,1400.0,113.0,360.0,1.0,1,4500.0
395,3276,484.0,135.0,360.0,2.0,1,3760.0
396,3180,0.0,71.0,360.0,0.0,0,3180.0
397,3033,1459.0,95.0,360.0,1.0,1,4492.0
398,3902,1666.0,109.0,360.0,1.0,1,5568.0
399,1500,1800.0,103.0,360.0,0.0,0,3300.0
400,2889,0.0,45.0,180.0,0.0,0,2889.0
401,2755,0.0,65.0,300.0,1.0,0,2755.0
402,2500,20000.0,103.0,360.0,1.0,1,22500.0
403,1963,0.0,53.0,360.0,1.0,1,1963.0
404,7441,0.0,194.0,360.0,1.0,0,7441.0
405,4547,0.0,115.0,360.0,1.0,1,4547.0
406,2167,2400.0,115.0,360.0,1.0,1,4567.0
407,2213,0.0,66.0,360.0,1.0,1,2213.0
408,8300,0.0,152.0,300.0,0.0,0,8300.0
409,81000,0.0,360.0,360.0,0.0,0,81000.0
410,3867,0.0,62.0,360.0,1.0,0,3867.0
411,6256,0.0,160.0,360.0,2.0,1,6256.0
412,6096,0.0,218.0,360.0,0.0,0,6096.0
413,2253,2033.0,110.0,360.0,1.0,1,4286.0
414,2149,3237.0,178.0,360.0,0.0,0,5386.0
415,2995,0.0,60.0,360.0,1.0,1,2995.0
416,2600,0.0,160.0,360.0,1.0,0,2600.0
417,1600,20000.0,239.0,360.0,1.0,0,21600.0
418,1025,2773.0,112.0,360.0,1.0,1,3798.0
419,3246,1417.0,138.0,360.0,1.0,1,4663.0
420,5829,0.0,138.0,360.0,1.0,1,5829.0
421,2720,0.0,80.0,342.5432098765432,0.0,0,2720.0
422,1820,1719.0,100.0,360.0,1.0,1,3539.0
423,7250,1667.0,110.0,342.5432098765432,0.0,0,8917.0
424,14880,0.0,96.0,360.0,1.0,1,14880.0
425,2666,4300.0,121.0,360.0,1.0,1,6966.0
426,4606,0.0,81.0,360.0,1.0,0,4606.0
427,5935,0.0,133.0,360.0,1.0,1,5935.0
428,2920,16.12000084,87.0,360.0,1.0,1,2936.12000084
429,2717,0.0,60.0,180.0,1.0,1,2717.0
430,8624,0.0,150.0,360.0,1.0,1,8624.0
431,6500,0.0,105.0,360.0,0.0,0,6500.0
432,12876,0.0,405.0,360.0,1.0,1,12876.0
433,2425,2340.0,143.0,360.0,1.0,1,4765.0
434,3750,0.0,100.0,360.0,1.0,1,3750.0
435,10047,0.0,144.0207468879668,240.0,1.0,1,10047.0
436,1926,1851.0,50.0,360.0,1.0,1,3777.0
437,2213,1125.0,144.0207468879668,360.0,1.0,1,3338.0
438,10416,0.0,187.0,360.0,0.0,0,10416.0
439,7142,0.0,138.0,360.0,1.0,1,7142.0
440,3660,5064.0,187.0,360.0,1.0,1,8724.0
441,7901,1833.0,180.0,360.0,1.0,1,9734.0
442,4707,1993.0,148.0,360.0,1.0,1,6700.0
443,37719,0.0,152.0,360.0,1.0,1,37719.0
444,7333,8333.0,175.0,300.0,2.0,1,15666.0
445,3466,1210.0,130.0,360.0,1.0,1,4676.0
446,4652,0.0,110.0,360.0,1.0,1,4652.0
447,3539,1376.0,55.0,360.0,1.0,0,4915.0
448,3340,1710.0,150.0,360.0,0.0,0,5050.0
449,2769,1542.0,190.0,360.0,2.0,0,4311.0
450,2309,1255.0,125.0,360.0,0.0,0,3564.0
451,1958,1456.0,60.0,300.0,2.0,1,3414.0
452,3948,1733.0,149.0,360.0,0.0,0,5681.0
453,2483,2466.0,90.0,180.0,0.0,1,4949.0
454,7085,0.0,84.0,360.0,1.0,1,7085.0
455,3859,0.0,96.0,360.0,1.0,1,3859.0
456,4301,0.0,118.0,360.0,1.0,1,4301.0
457,3708,2569.0,173.0,360.0,1.0,0,6277.0
458,4354,0.0,136.0,360.0,1.0,1,4354.0
459,8334,0.0,160.0,360.0,1.0,0,8334.0
460,2083,4083.0,160.0,360.0,2.0,1,6166.0
461,7740,0.0,128.0,180.0,1.0,1,7740.0
462,3015,2188.0,153.0,360.0,1.0,1,5203.0
463,5191,0.0,132.0,360.0,1.0,1,5191.0
464,4166,0.0,98.0,360.0,0.0,0,4166.0
465,6000,0.0,140.0,360.0,1.0,1,6000.0
466,2947,1664.0,70.0,180.0,0.0,0,4611.0
467,16692,0.0,110.0,360.0,1.0,1,16692.0
468,210,2917.0,98.0,360.0,1.0,1,3127.0
469,4333,2451.0,110.0,360.0,1.0,0,6784.0
470,3450,2079.0,162.0,360.0,1.0,1,5529.0
471,2653,1500.0,113.0,180.0,0.0,0,4153.0
472,4691,0.0,100.0,360.0,1.0,1,4691.0
473,2500,0.0,93.0,360.0,2.0,1,2500.0
474,5532,4648.0,162.0,360.0,1.0,1,10180.0
475,16525,1014.0,150.0,360.0,1.0,1,17539.0
476,6700,1750.0,230.0,300.0,1.0,1,8450.0
477,2873,1872.0,132.0,360.0,0.0,0,4745.0
478,16667,2250.0,86.0,360.0,1.0,1,18917.0
479,2947,1603.0,144.0207468879668,360.0,1.0,0,4550.0
480,4350,0.0,154.0,360.0,1.0,1,4350.0
481,3095,0.0,113.0,360.0,1.0,1,3095.0
